keys,es,en,pt,it
lvl5_cine_01,"Los héroes llegaron al campo de batalla.","The heroes arrived at the battlefield.","Os heróis chegaram ao campo de batalha.","Gli eroi giunsero al campo di battaglia."
lvl5_cine_02,"El aire estaba cargado de tensión y angustia.","The air was thick with tension and dread.","O ar estava carregado de tensão e angústia.","L’aria era carica di tensione e angoscia."
lvl5_cine_03,"Solo el viento rompía el silencio.","Only the wind broke the silence.","Apenas o vento quebrava o silêncio.","Solo il vento rompeva il silenzio."
lvl5_cine_04,"Al avanzar, vieron una figura caída.","As they moved forward, they saw a fallen figure.","Ao avançarem, viram uma figura caída.","Avanzando, videro una figura a terra."
lvl5_cine_05,"Era Heimdall, herido de muerte.","It was Heimdall, mortally wounded.","Era Heimdall, ferido de morte.","Era Heimdall, ferito a morte."
lvl5_cine_06,"Con su último aliento, les habló.","With his last breath, he spoke to them.","Com seu último suspiro, falou com eles.","Con l’ultimo respiro, parlò loro."
lvl5_cine_07,"Loki se ha hecho demasiado poderoso...","Loki has become too powerful...","Loki se tornou poderoso demais...","Loki è diventato troppo potente..."
lvl5_cine_08,"Nos atacó por sorpresa.","He struck us by surprise.","Ele nos atacou de surpresa.","Ci ha colti di sorpresa."
lvl5_cine_09,"Solo vosotros podéis detenerlo ahora.","Only you can stop him now.","Apenas vocês podem detê-lo agora.","Solo voi potete fermarlo ora."
lvl5_cine_10,"Pero para alcanzarlo...","But to reach him...","Mas para alcançá-lo...","Ma per raggiungerlo..."
lvl5_cine_11,"necesitaréis mi espada.","you will need my sword.","vocês precisarão da minha espada.","avrete bisogno della mia spada."
lvl5_cine_12,"Se ha roto en tres fragmentos.","It has broken into three fragments.","Ela se partiu em três fragmentos.","Si è spezzata in tre frammenti."
lvl5_cine_13,"Y se han dispersado por el campo.","And they have scattered across the field.","E se espalharam pelo campo.","E si sono dispersi sul campo."
lvl5_cine_14,"El futuro del mundo está en vuestras manos.","The fate of the world is in your hands.","O futuro do mundo está em suas mãos.","Il destino del mondo è nelle vostre mani."
skip_cine,Pulsa {tecla} para saltar,Press {tecla} to skip,Pressione {tecla} para pular,Premi {tecla} per saltare
